DATE,LES
1979-01-01,174
1979-04-01,178
1979-07-01,185
1979-10-01,190
1980-01-01,193
1980-04-01,198
1980-07-01,203
1980-10-01,207
1981-01-01,212
1981-04-01,215
1981-07-01,222
1981-10-01,225
1982-01-01,232
1982-04-01,238
1982-07-01,239
1982-10-01,245
1983-01-01,247
1983-04-01,250
1983-07-01,252
1983-10-01,256
1984-01-01,260
1984-04-01,262
1984-07-01,267
1984-10-01,269
1985-01-01,268
1985-04-01,279
1985-07-01,279
1985-10-01,282
1986-01-01,285
1986-04-01,289
1986-07-01,291
1986-10-01,295
1987-01-01,297
1987-04-01,301
1987-07-01,305
1987-10-01,308
1988-01-01,309
1988-04-01,313
1988-07-01,317
1988-10-01,320
1989-01-01,323
1989-04-01,323
1989-07-01,334
1989-10-01,336
1990-01-01,341
1990-04-01,344
1990-07-01,345
1990-10-01,354
1991-01-01,361
1991-04-01,367
1991-07-01,367
1991-10-01,371
1992-01-01,375
1992-04-01,379
1992-07-01,381
1992-10-01,384
1993-01-01,388
1993-04-01,389
1993-07-01,397
1993-10-01,399
1994-01-01,394
1994-04-01,398
1994-07-01,402
1994-10-01,403
1995-01-01,402
1995-04-01,406
1995-07-01,408
1995-10-01,406
1996-01-01,415
1996-04-01,416
1996-07-01,418
1996-10-01,423
1997-01-01,423
1997-04-01,431
1997-07-01,432
1997-10-01,438
1998-01-01,451
1998-04-01,449
1998-07-01,458
1998-10-01,468
1999-01-01,464
1999-04-01,471
1999-07-01,477
1999-10-01,480
2000-01-01,485
2000-04-01,490
2000-07-01,497
2000-10-01,501
2001-01-01,504
2001-04-01,515
2001-07-01,510
2001-10-01,519
2002-01-01,525
2002-04-01,524
2002-07-01,531
2002-10-01,540
2003-01-01,546
2003-04-01,551
2003-07-01,554
2003-10-01,560
2004-01-01,562
2004-04-01,576
2004-07-01,574
2004-10-01,577
2005-01-01,580
2005-04-01,584
2005-07-01,588
2005-10-01,588
2006-01-01,594
2006-04-01,597
2006-07-01,603
2006-10-01,607
2007-01-01,610
2007-04-01,610
2007-07-01,621
2007-10-01,615
2008-01-01,633
2008-04-01,636
2008-07-01,637
2008-10-01,647
2009-01-01,645
2009-04-01,652
2009-07-01,664
2009-10-01,666
2010-01-01,662
2010-04-01,671
2010-07-01,670
2010-10-01,676
2011-01-01,679
2011-04-01,687
2011-07-01,681
2011-10-01,686
2012-01-01,693
2012-04-01,687
2012-07-01,693
2012-10-01,690
2013-01-01,699
2013-04-01,706
2013-07-01,705
2013-10-01,712
2014-01-01,716
2014-04-01,715
2014-07-01,721
2014-10-01,724
2015-01-01,725
2015-04-01,725
2015-07-01,727
2015-10-01,729
2016-01-01,745
2016-04-01,744
2016-07-01,750
2016-10-01,758
2017-01-01,760
2017-04-01,780
2017-07-01,771
2017-10-01,770
2018-01-01,778
2018-04-01,780
2018-07-01,800
2018-10-01,794
2019-01-01,802
2019-04-01,814
2019-07-01,829
2019-10-01,843
2020-01-01,851
2020-04-01,914
