DATE,GDI
1947-01-01,240.092
1947-04-01,243.209
1947-07-01,247.579
1947-10-01,256.122
1948-01-01,265.072
1948-04-01,273.654
1948-07-01,278.94
1948-10-01,281.223
1949-01-01,274.181
1949-04-01,270.663
1949-07-01,270.864
1949-10-01,267.232
1950-01-01,277.506
1950-04-01,289.933
1950-07-01,307.523
1950-10-01,319.296
1951-01-01,332.534
1951-04-01,340.65
1951-07-01,346.823
1951-10-01,353.872
1952-01-01,356.053
1952-04-01,358.604
1952-07-01,365.997
1952-10-01,378.271
1953-01-01,385.073
1953-04-01,388.516
1953-07-01,387.601
1953-10-01,380.525
1954-01-01,382.556
1954-04-01,383.599
1954-07-01,387.55
1954-10-01,396.846
1955-01-01,409.644
1955-04-01,419.737
1955-07-01,428.226
1955-10-01,435.769
1956-01-01,440.533
1956-04-01,447.677
1956-07-01,453.772
1956-10-01,463.555
1957-01-01,471.077
1957-04-01,473.964
1957-07-01,478.835
1957-10-01,473.7
1958-01-01,468.147
1958-04-01,470.91
1958-07-01,484.818
1958-10-01,498.444
1959-01-01,510.148
1959-04-01,524.881
1959-07-01,522.573
1959-10-01,528.21
1960-01-01,542.123
1960-04-01,543.395
1960-07-01,545.289
1960-10-01,543.937
1961-01-01,546.221
1961-04-01,556.72
1961-07-01,567.148
1961-10-01,582.407
1962-01-01,592.505
1962-04-01,600.073
1962-07-01,607.426
1962-10-01,615.801
1963-01-01,623.852
1963-04-01,634.045
1963-07-01,643.452
1963-10-01,654.311
1964-01-01,667.298
1964-04-01,678.727
1964-07-01,691.099
1964-10-01,700.907
1965-01-01,720.153
1965-04-01,732.682
1965-07-01,745.904
1965-10-01,767.461
1966-01-01,789.33
1966-04-01,801.087
1966-07-01,814.397
1966-10-01,828.504
1967-01-01,836.797
1967-04-01,845.68
1967-07-01,862.762
1967-10-01,881.144
1968-01-01,904.131
1968-04-01,927.464
1968-07-01,949.278
1968-10-01,969.186
1969-01-01,988.736
1969-04-01,1007.398
1969-07-01,1028.459
1969-10-01,1039.539
1970-01-01,1047.063
1970-04-01,1061.858
1970-07-01,1079.478
1970-10-01,1083.461
1971-01-01,1121.846
1971-04-01,1143.993
1971-07-01,1165.45
1971-10-01,1190.034
1972-01-01,1225.633
1972-04-01,1249.074
1972-07-01,1281.68
1972-10-01,1331.427
1973-01-01,1370.819
1973-04-01,1399.51
1973-07-01,1431.358
1973-10-01,1475.233
1974-01-01,1491.147
1974-04-01,1520.366
1974-07-01,1556.457
1974-10-01,1583.155
1975-01-01,1600.723
1975-04-01,1637.971
1975-07-01,1700.815
1975-10-01,1746.705
1976-01-01,1801.802
1976-04-01,1831.401
1976-07-01,1869.194
1976-10-01,1908.64
1977-01-01,1960.906
1977-04-01,2035.208
1977-07-01,2097.868
1977-10-01,2155.534
1978-01-01,2199.97
1978-04-01,2309.586
1978-07-01,2365.857
1978-10-01,2437.684
1979-01-01,2501.699
1979-04-01,2550.233
1979-07-01,2609.155
1979-10-01,2668.001
1980-01-01,2721.73
1980-04-01,2741.396
1980-07-01,2823.711
1980-10-01,2964.677
1981-01-01,3064.614
1981-04-01,3126.669
1981-07-01,3231.198
1981-10-01,3253.338
1982-01-01,3272.026
1982-04-01,3326.545
1982-07-01,3360.628
1982-10-01,3380.562
1983-01-01,3442.689
1983-04-01,3526.559
1983-07-01,3613.443
1983-10-01,3725.666
1984-01-01,3866.052
1984-04-01,3962.759
1984-07-01,4040.168
1984-10-01,4115.077
1985-01-01,4191.093
1985-04-01,4248.112
1985-07-01,4325.546
1985-10-01,4374.084
1986-01-01,4439.28
1986-04-01,4468.54
1986-07-01,4515.027
1986-10-01,4575.455
1987-01-01,4652.187
1987-04-01,4759.142
1987-07-01,4864.953
1987-10-01,4969.278
1988-01-01,5068.055
1988-04-01,5176.274
1988-07-01,5285.53
1988-10-01,5403.861
1989-01-01,5493.644
1989-04-01,5542.42
1989-07-01,5606.037
1989-10-01,5652.24
1990-01-01,5767.812
1990-04-01,5864.799
1990-07-01,5910.743
1990-10-01,5927.023
1991-01-01,5972.649
1991-04-01,6034.081
1991-07-01,6098.155
1991-10-01,6155.738
1992-01-01,6284.521
1992-04-01,6374.987
1992-07-01,6426.443
1992-10-01,6531.606
1993-01-01,6545.416
1993-04-01,6663.732
1993-07-01,6716.772
1993-10-01,6884.53
1994-01-01,6955.743
1994-04-01,7097.889
1994-07-01,7204.883
1994-10-01,7330.608
1995-01-01,7401.194
1995-04-01,7480.079
1995-07-01,7609.555
1995-10-01,7696.11
1996-01-01,7819.355
1996-04-01,7965.95
1996-07-01,8065.739
1996-10-01,8209.098
1997-01-01,8349.259
1997-04-01,8474.339
1997-07-01,8647.179
1997-10-01,8793.083
1998-01-01,8897.873
1998-04-01,9044.608
1998-07-01,9207.889
1998-10-01,9321.823
1999-01-01,9480.603
1999-04-01,9572.374
1999-07-01,9697.711
1999-10-01,9904.013
2000-01-01,10179.913
2000-04-01,10298.308
2000-07-01,10439.71
2000-10-01,10476.619
2001-01-01,10666.29
2001-04-01,10715.779
2001-07-01,10709.358
2001-10-01,10688.339
2002-01-01,10844.698
2002-04-01,10975.498
2002-07-01,11038.84
2002-10-01,11177.524
2003-01-01,11245.93
2003-04-01,11375.63
2003-07-01,11553.412
2003-10-01,11711.797
2004-01-01,11900.853
2004-04-01,12147.294
2004-07-01,12367.189
2004-10-01,12528.937
2005-01-01,12749.599
2005-04-01,12954.13
2005-07-01,13168.203
2005-10-01,13485.428
2006-01-01,13809.949
2006-04-01,13952.197
2006-07-01,14112.456
2006-10-01,14212.673
2007-01-01,14343.607
2007-04-01,14474.414
2007-07-01,14438.119
2007-10-01,14481.736
2008-01-01,14533.824
2008-04-01,14581.664
2008-07-01,14632.71
2008-10-01,14372.977
2009-01-01,14133.74
2009-04-01,14174.903
2009-07-01,14247.102
2009-10-01,14480.317
2010-01-01,14583.937
2010-04-01,14819.448
2010-07-01,15099.675
2010-10-01,15225.147
2011-01-01,15319.648
2011-04-01,15535.328
2011-07-01,15692.033
2011-10-01,15850.573
2012-01-01,16285.508
2012-04-01,16409.474
2012-07-01,16402.827
2012-10-01,16649.483
2013-01-01,16727.644
2013-04-01,16877.282
2013-07-01,16971.329
2013-10-01,17190.912
2014-01-01,17353.151
2014-04-01,17707.856
2014-07-01,18007.017
2014-10-01,18187.56
2015-01-01,18299.182
2015-04-01,18464.848
2015-07-01,18559.841
2015-10-01,18578.632
2016-01-01,18667.179
2016-04-01,18718.139
2016-07-01,18886.995
2016-10-01,19076.712
2017-01-01,19352.211
2017-04-01,19572.211
2017-07-01,19750.44
2017-10-01,20022.802
2018-01-01,20319.778
2018-04-01,20533.203
2018-07-01,20847.329
2018-10-01,20979.138
2019-01-01,21147.793
2019-04-01,21347.247
2019-07-01,21465.332
2019-10-01,21721.174
2020-01-01,21671.321
2020-04-01,19464.364
